TAGS,QTY,CATALOG,DESCRIPTION,MANUFACTURER
ENC,1,SCE-16H1606SS6LP,WALL MOUNT ENCLOSURE - NEMA 4X,SCE
ENC,1,SCE-16P16,ENCLOSURE BACK PANEL,SCE
DRAIN,1,SCE-BVKD,NEMA 4X VENT/DRAIN,SCE
LT5208,1,9001SKT38LGG31,"PTT LIGHT, 120VAC LED, GREEN",SCHNEIDER ELECTRIC
LT5209,1,9001SKT38LRR31,"PTT LIGHT, 120VAC LED, RED",SCHNEIDER ELECTRIC
LT5210,1,9001SKT38LYA31,"PTT LIGHT, 120VAC LED, AMBER",SCHNEIDER ELECTRIC
RESET,1,XB4BA922,MANUAL OVERLOAD RESET PUSH BUTTON,SCHNEIDER ELECTRIC
SS5205,1,9001SKS43BH13,"3 POSITION SWITCH, BLACK",SCHNEIDER ELECTRIC
CB5201,1,BGL26015,"MAIN CIRCUIT BREAKER, 15A",SQUARE D
CB5204,1,7940102572,"CIRCUIT BREAKER, 120VAC, 2A",WEIDMULLER
M5205,1,8536-SAO11V02ES,NEMA MOTOR STARTER / OVERLOAD,SQUARE D
OL5201,1,B9.10,THERMAL MOTOR OVERLOAD,SQUARE D
RCT,1,9050JCK70V20,"REPEAT CYCLE TIMER, 0.5 SEC TO 999 HOURS",SQUARE D
RCT,1,8501NR61,"RELAY SOCKET, 120VAC, 11 PIN OCTAL, DIN",SQUARE D
TB-AC,4,3044076,"UNIVERSAL TERMINAL BLOCK - UT 2,5",PHOENIX CONTACT
TB-AC,A/R,3047028,TERMINAL END BARRIER,PHOENIX CONTACT
TB-AC,A/R,3044092,GROUNDING TERMINAL BLOCK,PHOENIX CONTACT
TB-AC,A/R,800886,TERMINAL ANCHOR,PHOENIX CONTACT
,,,,
,,,,
