TAGS,QTY,CATALOG,DESCRIPTION,MANUFACTURER
ENC,1,SCE-30H2416SSLP,WALL MOUNT ENCLOSURE - NEMA 4X ,SCE
ENC,1,SCE-30P24,ENCLOSURE BACKPANEL,SCE
CB3203,1,7940102572,"CIRCUIT BREAKER, 120VAC, 2A",WEIDMULLER
CB3203A,1,7940102584,"CIRCUIT BREAKER, 120VAC, 20A",WEIDMULLER
"CB3204, CB3211",2,7940102582,"CIRCUIT BREAKER, 120VAC, 15A",WEIDMULLER
RECP3204,1,T5015-W,"SINGLE RECEPTACLE, 15A",LEVITON
CR3213,1,RPM42F7,"RELAY, SP4T, 120VAC, 15A",SCHNEIDER ELECTRIC
CR3213,1,RPZF4,"RELAY SOCKET, 120VAC, 14 BLADE, DIN",SCHNEIDER ELECTRIC
UPS,1,SRT1000XLA,UNINTERRUPTIBLE POWER SUPPLY,APC
UPS,1,AP9614,DRY CONTACT I/O CARD,APC
BP,1,SRT48BP,UPS EXTERNAL BATTERY PACK,APC
THERMOSTAT,1,7T.81.0.000.2403,"ENCLOSURE HEATER THERMOSTAT, NC",FINDER
HTR3203,1,SCE-TSH50,ENCLOSURE HEATER,SCE
"TB-AC, TB-UPS",12,3044076,"UNIVERSAL TERMINAL BLOCK - UT 2,5",PHOENIX CONTACT
"TB-AC, TB-UPS",A/R,3047028,TERMINAL END BARRIER,PHOENIX CONTACT
"TB-AC, TB-UPS",A/R,3044092,GROUNDING TERMINAL BLOCK,PHOENIX CONTACT
"TB-AC, TB-UPS",A/R,800886,TERMINAL ANCHOR,PHOENIX CONTACT
